emp_no,title,from_date,to_date
12969,Retail Associate,3/30/2010,1/29/2015
12969,Sales Representative,1/29/2015,1/1/9999
10607,Research Technician,3/20/2007,10/12/2009
10607,Research Associate,10/12/2009,2/9/2015
10607,Senior Research Associate,2/9/2015,1/1/9999
14862,Research Technician,1/19/2009,3/10/2010
14862,Research Associate,3/10/2010,6/18/2015
14862,Senior Research Associate,6/18/2015,1/1/9999
13389,Research Technician,7/15/2003,7/8/2009
13389,Research Associate,7/8/2009,1/26/2015
13389,Senior Research Associate,1/26/2015,1/1/9999
14349,Entry Level Sales,3/11/2004,2/27/2010
14349,Retail Associate,2/27/2010,4/26/2015
14349,Sales Representative,4/26/2015,1/1/9999
16873,Entry Level Sales,7/5/2004,4/21/2010
16873,Retail Associate,4/21/2010,2/25/2015
16873,Sales Representative,2/25/2015,1/1/9999
10200,Research Technician,8/25/2003,4/10/2010
10200,Research Associate,4/10/2010,8/28/2014
10200,Senior Research Associate,8/28/2014,1/1/9999
19862,Entry Level Sales,10/8/2003,6/19/2010
19862,Retail Associate,6/19/2010,8/16/2014
19862,Sales Representative,8/16/2014,1/1/9999
15287,Entry Level Sales,9/17/2007,12/25/2009
15287,Retail Associate,12/25/2009,8/16/2014
15287,Sales Representative,8/16/2014,1/1/9999
19391,Entry Level Sales,1/11/2008,6/21/2010
19391,Retail Associate,6/21/2010,4/18/2015
19391,Sales Representative,4/18/2015,1/1/9999
17915,Research Technician,8/25/2008,12/3/2009
17915,Research Associate,12/3/2009,2/12/2015
17915,Senior Research Associate,2/12/2015,1/1/9999
12106,Entry Level Sales,5/27/2008,6/12/2010
12106,Retail Associate,6/12/2010,7/27/2014
12106,Sales Representative,7/27/2014,1/1/9999
14411,Entry Level Sales,12/23/2004,11/22/2009
14411,Retail Associate,11/22/2009,8/28/2014
14411,Sales Representative,8/28/2014,1/1/9999
19910,Entry Level Sales,6/19/2008,12/5/2009
19910,Retail Associate,12/5/2009,12/2/2014
19910,Sales Representative,12/2/2014,1/1/9999
17727,Entry Level Sales,9/8/2003,6/30/2009
17727,Retail Associate,6/30/2009,7/29/2014
17727,Sales Representative,7/29/2014,1/1/9999
15019,Entry Level Sales,8/28/2004,8/3/2009
15019,Retail Associate,8/3/2009,1/24/2015
15019,Sales Representative,1/24/2015,1/1/9999
15522,Entry Level Sales,1/5/2009,11/5/2009
15522,Retail Associate,11/5/2009,7/29/2014
15522,Sales Representative,7/29/2014,1/1/9999
14169,Entry Level Sales,10/5/2006,3/5/2010
14169,Retail Associate,3/5/2010,11/7/2014
14169,Sales Representative,11/7/2014,1/1/9999
17482,Entry Level Sales,5/25/2007,9/23/2009
17482,Retail Associate,9/23/2009,5/24/2015
17482,Sales Representative,5/24/2015,1/1/9999
11249,Entry Level Sales,5/25/2007,10/26/2009
11249,Retail Associate,10/26/2009,5/29/2015
11249,Sales Representative,5/29/2015,1/1/9999
12458,Entry Level Sales,5/22/2008,1/17/2010
12458,Retail Associate,1/17/2010,6/16/2014
12458,Sales Representative,6/16/2014,1/1/9999
10511,Entry Level Sales,9/18/2003,5/17/2010
10511,Retail Associate,5/17/2010,9/20/2014
10511,Sales Representative,9/20/2014,1/1/9999
12455,Entry Level Sales,5/22/2006,12/9/2009
12455,Retail Associate,12/9/2009,8/30/2014
12455,Sales Representative,8/30/2014,1/1/9999
17788,Entry Level Assembly,6/26/2006,9/30/2009
17788,Production Assistant,9/30/2009,8/22/2014
17788,Production Worker,8/22/2014,1/1/9999
13876,Entry Level Assembly,8/17/2003,11/22/2009
13876,Production Assistant,11/22/2009,11/4/2014
13876,Production Worker,11/4/2014,1/1/9999
11057,Entry Level Assembly,11/5/2004,6/21/2010
11057,Production Assistant,6/21/2010,9/22/2014
11057,Production Worker,9/22/2014,1/1/9999
13849,Entry Level Assembly,6/18/2005,11/4/2009
13849,Production Assistant,11/4/2009,11/14/2014
13849,Production Worker,11/14/2014,1/1/9999
14894,Entry Level Assembly,3/27/2005,5/24/2010
14894,Production Assistant,5/24/2010,6/18/2015
14894,Production Worker,6/18/2015,1/1/9999
14492,Entry Level Assembly,8/23/2008,10/5/2009
14492,Production Assistant,10/5/2009,6/17/2014
14492,Production Worker,6/17/2014,1/1/9999
13563,Entry Level Assembly,6/16/2004,10/4/2009
13563,Production Assistant,10/4/2009,2/24/2015
13563,Production Worker,2/24/2015,1/1/9999
18479,Entry Level Assembly,12/9/2007,11/20/2009
18479,Production Assistant,11/20/2009,7/31/2014
18479,Production Worker,7/31/2014,1/1/9999
19671,Entry Level Assembly,5/15/2004,10/6/2009
19671,Production Assistant,10/6/2009,3/4/2015
19671,Production Worker,3/4/2015,1/1/9999
15758,Entry Level Assembly,11/20/2007,4/6/2010
15758,Production Assistant,4/6/2010,6/16/2015
15758,Production Worker,6/16/2015,1/1/9999
12153,Customer Service Call Center,1/13/2005,1/3/2010
12153,Customer Service Associate,1/3/2010,4/6/2015
12153,Customer Service Representative,4/6/2015,1/1/9999
12667,Customer Service Call Center,6/26/2007,9/4/2009
12667,Customer Service Associate,9/4/2009,9/14/2014
12667,Customer Service Representative,9/14/2014,1/1/9999
13030,Customer Service Call Center,3/6/2004,3/23/2010
13030,Customer Service Associate,3/23/2010,10/12/2014
13030,Customer Service Representative,10/12/2014,1/1/9999
18886,Customer Service Call Center,1/7/2005,9/3/2009
18886,Customer Service Associate,9/3/2009,6/14/2015
18886,Customer Service Representative,6/14/2015,1/1/9999
12465,Customer Service Call Center,5/20/2004,2/7/2010
12465,Customer Service Associate,2/7/2010,1/10/2015
12465,Customer Service Representative,1/10/2015,1/1/9999
11202,Customer Service Call Center,1/21/2004,10/25/2009
11202,Customer Service Associate,10/25/2009,1/8/2015
11202,Customer Service Representative,1/8/2015,1/1/9999
12551,Customer Service Call Center,10/10/2006,4/11/2010
12551,Customer Service Associate,4/11/2010,6/24/2014
12551,Customer Service Representative,6/24/2014,1/1/9999
18384,Customer Service Call Center,1/17/2008,5/12/2010
18384,Customer Service Associate,5/12/2010,4/30/2015
18384,Customer Service Representative,4/30/2015,1/1/9999
16671,Customer Service Call Center,5/8/2008,2/25/2010
16671,Customer Service Associate,2/25/2010,1/26/2015
16671,Customer Service Representative,1/26/2015,1/1/9999
14399,Customer Service Call Center,3/16/2007,4/16/2010
14399,Customer Service Associate,4/16/2010,5/1/2015
14399,Customer Service Representative,5/1/2015,1/1/9999
17905,Customer Service Call Center,10/8/2005,4/11/2010
17905,Customer Service Associate,4/11/2010,2/4/2015
17905,Customer Service Representative,2/4/2015,1/1/9999
12877,Customer Service Call Center,7/22/2006,2/16/2010
12877,Customer Service Associate,2/16/2010,3/6/2015
12877,Customer Service Representative,3/6/2015,1/1/9999
19948,Customer Service Call Center,8/11/2003,1/11/2010
19948,Customer Service Associate,1/11/2010,4/24/2015
19948,Customer Service Representative,4/24/2015,1/1/9999
19615,Customer Service Call Center,9/24/2008,5/14/2010
19615,Customer Service Associate,5/14/2010,7/12/2014
19615,Customer Service Representative,7/12/2014,1/1/9999
11617,Customer Service Call Center,7/14/2004,11/21/2009
11617,Customer Service Associate,11/21/2009,8/18/2014
11617,Customer Service Representative,8/18/2014,1/1/9999
11828,Customer Service Call Center,6/6/2003,4/2/2010
11828,Customer Service Associate,4/2/2010,10/24/2014
11828,Customer Service Representative,10/24/2014,1/1/9999
18754,Customer Service Call Center,1/1/2006,8/16/2009
18754,Customer Service Associate,8/16/2009,4/8/2015
18754,Customer Service Representative,4/8/2015,1/1/9999
19509,Research Technician,1/11/2007,4/19/2010
19509,Research Associate,4/19/2010,2/17/2015
19509,Senior Research Associate,2/17/2015,1/1/9999
13603,Research Technician,1/27/2007,3/25/2010
13603,Research Associate,3/25/2010,10/27/2014
13603,Senior Research Associate,10/27/2014,1/1/9999
10239,Research Technician,12/12/2005,11/13/2009
10239,Research Associate,11/13/2009,6/7/2015
10239,Senior Research Associate,6/7/2015,1/1/9999
11775,Research Technician,12/3/2007,6/17/2009
11775,Research Associate,6/17/2009,6/6/2015
11775,Senior Research Associate,6/6/2015,1/1/9999
17134,Research Technician,5/15/2004,4/17/2010
17134,Research Associate,4/17/2010,6/19/2015
17134,Senior Research Associate,6/19/2015,1/1/9999
15084,Research Technician,1/24/2004,12/20/2009
15084,Research Associate,12/20/2009,11/17/2014
15084,Senior Research Associate,11/17/2014,1/1/9999
14351,Research Technician,1/21/2008,2/6/2010
14351,Research Associate,2/6/2010,7/4/2014
14351,Senior Research Associate,7/4/2014,1/1/9999
13343,Web Developer,1/27/2005,3/24/2010
13343,Junior Web Dev,3/24/2010,6/16/2014
13343,Senior Web Development,6/16/2014,1/1/9999
14965,Web Developer,1/14/2007,4/14/2010
14965,Junior Web Dev,4/14/2010,8/11/2014
14965,Senior Web Development,8/11/2014,1/1/9999
14816,Web Developer,9/6/2005,10/31/2009
14816,Junior Web Dev,10/31/2009,8/23/2014
14816,Senior Web Development,8/23/2014,1/1/9999
10538,Web Developer,7/6/2003,7/9/2009
10538,Junior Web Dev,7/9/2009,9/17/2014
10538,Senior Web Development,9/17/2014,1/1/9999
19050,Web Developer,10/6/2005,10/27/2009
19050,Junior Web Dev,10/27/2009,9/13/2014
19050,Senior Web Development,9/13/2014,1/1/9999
19397,Web Developer,10/25/2005,7/22/2009
19397,Junior Web Dev,7/22/2009,2/24/2015
19397,Senior Web Development,2/24/2015,1/1/9999
14820,Web Developer,7/14/2008,8/6/2009
14820,Junior Web Dev,8/6/2009,6/8/2014
14820,Senior Web Development,6/8/2014,1/1/9999
12679,Web Developer,9/11/2004,2/16/2010
12679,Junior Web Dev,2/16/2010,3/8/2015
12679,Senior Web Development,3/8/2015,1/1/9999
18387,Research Technician,1/25/2004,7/1/2010
18387,Research Associate,7/1/2010,6/11/2015
18387,Senior Research Associate,6/11/2015,1/1/9999
19035,Research Technician,1/17/2005,5/6/2010
19035,Research Associate,5/6/2010,3/11/2015
19035,Senior Research Associate,3/11/2015,1/1/9999
17280,Research Technician,2/3/2006,7/6/2009
17280,Research Associate,7/6/2009,2/21/2015
17280,Senior Research Associate,2/21/2015,1/1/9999
14847,Research Technician,2/22/2008,4/12/2010
14847,Research Associate,4/12/2010,11/17/2014
14847,Senior Research Associate,11/17/2014,1/1/9999
15446,Research Technician,6/14/2007,3/20/2010
15446,Research Associate,3/20/2010,10/21/2014
15446,Senior Research Associate,10/21/2014,1/1/9999
19209,Research Technician,4/25/2004,11/21/2009
19209,Research Associate,11/21/2009,7/29/2014
19209,Senior Research Associate,7/29/2014,1/1/9999
11911,Research Technician,6/4/2007,8/29/2009
11911,Research Associate,8/29/2009,6/25/2014
11911,Senior Research Associate,6/25/2014,1/1/9999
17181,Research Technician,9/2/2004,7/6/2009
17181,Research Associate,7/6/2009,6/17/2015
17181,Senior Research Associate,6/17/2015,1/1/9999
12520,Research Technician,4/23/2007,12/21/2009
12520,Research Associate,12/21/2009,3/30/2015
12520,Senior Research Associate,3/30/2015,1/1/9999
11782,Research Technician,8/25/2003,10/14/2009
11782,Research Associate,10/14/2009,6/24/2015
11782,Senior Research Associate,6/24/2015,1/1/9999
11094,Research Technician,3/15/2009,6/25/2010
11094,Research Associate,6/25/2010,5/26/2015
11094,Senior Research Associate,5/26/2015,1/1/9999
18911,Web Developer,12/24/2008,4/17/2010
18911,Junior Web Dev,4/17/2010,3/30/2015
18911,Senior Web Development,3/30/2015,1/1/9999
16110,Web Developer,8/12/2006,8/14/2009
16110,Junior Web Dev,8/14/2009,9/17/2014
16110,Senior Web Development,9/17/2014,1/1/9999
12870,Web Developer,10/4/2006,11/6/2009
12870,Junior Web Dev,11/6/2009,3/26/2015
12870,Senior Web Development,3/26/2015,1/1/9999
10243,Web Developer,7/3/2004,7/19/2009
10243,Junior Web Dev,7/19/2009,9/15/2014
10243,Senior Web Development,9/15/2014,1/1/9999
19014,Web Developer,10/22/2007,7/31/2009
19014,Junior Web Dev,7/31/2009,10/17/2014
19014,Senior Web Development,10/17/2014,1/1/9999
19999,Web Developer,10/1/2003,7/6/2010
19999,Junior Web Dev,7/6/2010,6/8/2014
19999,Senior Web Development,6/8/2014,1/1/9999
17329,Web Developer,4/20/2009,12/28/2009
17329,Junior Web Dev,12/28/2009,8/30/2014
17329,Senior Web Development,8/30/2014,1/1/9999
19032,Web Developer,3/21/2006,3/18/2010
19032,Junior Web Dev,3/18/2010,5/13/2015
19032,Senior Web Development,5/13/2015,1/1/9999
12525,Research Technician,10/21/2008,6/30/2010
12525,Research Associate,6/30/2010,1/11/2015
12525,Senior Research Associate,1/11/2015,1/1/9999
16334,Research Technician,3/21/2007,9/30/2009
16334,Research Associate,9/30/2009,5/24/2015
16334,Senior Research Associate,5/24/2015,1/1/9999
