emp_no,salary,from_date,to_date
12903,30289,10/31/2015,11/23/2016
12903,32412.51,11/23/2016,01/01/9999
10166,23861,3/21/2013,11/13/2015
10166,30162,11/13/2015,03/19/2017
10166,32285.51,3/19/2017,01/01/9999
10411,24611,1/15/2012,11/05/2015
10411,30950,11/5/2015,08/31/2017
10411,33073.51,8/31/2017,01/01/9999
19778,23742,7/17/2013,04/27/2015
19778,30314,4/27/2015,12/08/2016
19778,32437.51,12/8/2016,01/01/9999
14543,23362,11/29/2013,10/21/2015
14543,30753,10/21/2015,07/29/2017
14543,32876.51,7/29/2017,01/01/9999
12784,24750,10/21/2013,01/07/2015
12784,29159,1/7/2015,02/11/2017
12784,31282.51,2/11/2017,01/01/9999
16193,23869,3/12/2010,11/27/2015
16193,30190,11/27/2015,12/26/2016
16193,32313.51,12/26/2016,01/01/9999
13214,23619,1/20/2014,07/15/2015
13214,30832,7/15/2015,07/21/2017
13214,32955.51,7/21/2017,01/01/9999
18158,24561,3/23/2011,03/13/2015
18158,29540,3/13/2015,12/30/2016
18158,31663.51,12/30/2016,01/01/9999
16791,24679,10/29/2009,02/01/2015
16791,30086,2/1/2015,05/08/2017
16791,32209.51,5/8/2017,01/01/9999
14798,23782,8/17/2013,05/16/2015
14798,29694,5/16/2015,12/27/2016
14798,31817.51,12/27/2016,01/01/9999
18590,24047,11/26/2009,11/13/2015
18590,30029,11/13/2015,12/25/2016
18590,32152.51,12/25/2016,01/01/9999
19119,24916,10/13/2010,09/15/2015
19119,30485,9/15/2015,04/03/2017
19119,32608.51,4/3/2017,01/01/9999
17534,24735,2/4/2010,03/14/2015
17534,29621,3/14/2015,11/15/2016
17534,31744.51,11/15/2016,01/01/9999
18818,24976,9/6/2011,08/25/2015
18818,29544,8/25/2015,05/07/2017
18818,31667.51,5/7/2017,01/01/9999
18745,23000,6/23/2011,04/16/2015
18745,25000,4/16/2015,10/09/2017
18745,27123.51,10/9/2017,01/01/9999
12452,23500,10/25/2009,03/25/2015
12452,25500,3/25/2015,02/16/2017
12452,27623.51,2/16/2017,01/01/9999
17309,23500,12/26/2011,03/09/2015
17309,25500,3/9/2015,11/03/2016
17309,27623.51,11/3/2016,01/01/9999
12561,23500,5/19/2013,06/19/2015
12561,25500,6/19/2015,03/25/2017
12561,27623.51,3/25/2017,01/01/9999
18715,23500,1/18/2010,11/20/2015
18715,25500,11/20/2015,04/04/2017
18715,27623.51,4/4/2017,01/01/9999
14227,23500,5/11/2011,05/12/2015
14227,25500,5/12/2015,05/03/2017
14227,27623.51,5/3/2017,01/01/9999
